273,Difford: sequencing batch 5
275,Difford: sequencing batch 5
277,Difford: sequencing batch 5
278,Difford: sequencing batch 5
279,Difford: sequencing batch 5
27_J,Difford: sequencing batch 9
280,Difford: sequencing batch 5
281,Difford: sequencing batch 5
282,Difford: sequencing batch 5
283,Difford: sequencing batch 5
284,Difford: sequencing batch 5
285,Difford: sequencing batch 5
286,Difford: sequencing batch 5
287,Difford: sequencing batch 5
288,Difford: sequencing batch 5
289,Difford: sequencing batch 5
28_J,Difford: sequencing batch 9
290,Difford: sequencing batch 5
291,Difford: sequencing batch 5
292,Difford: sequencing batch 5
293,Difford: sequencing batch 5
294,Difford: sequencing batch 5
295,Difford: sequencing batch 5
296,Difford: sequencing batch 5
297,Difford: sequencing batch 5
299,Difford: sequencing batch 5
29_J,Difford: sequencing batch 9
300,Difford: sequencing batch 5
301,Difford: sequencing batch 5
302,Difford: sequencing batch 5
303,Difford: sequencing batch 5
304,Difford: sequencing batch 5
305,Difford: sequencing batch 5
307,Difford: sequencing batch 5
309,Difford: sequencing batch 5
30_J,Difford: sequencing batch 8
310,Difford: sequencing batch 5
311,Difford: sequencing batch 5
312,Difford: sequencing batch 5
313,Difford: sequencing batch 5
314,Difford: sequencing batch 5
315,Difford: sequencing batch 5
316,Difford: sequencing batch 5
317,Difford: sequencing batch 5
318,Difford: sequencing batch 5
319,Difford: sequencing batch 5
31_J,Difford: sequencing batch 8
320,Difford: sequencing batch 5
322,Difford: sequencing batch 5
323,Difford: sequencing batch 5
324,Difford: sequencing batch 5
325,Difford: sequencing batch 5
326,Difford: sequencing batch 5
327,Difford: sequencing batch 5
328,Difford: sequencing batch 5
329,Difford: sequencing batch 5
32_J,Difford: sequencing batch 8
330,Difford: sequencing batch 5
331,Difford: sequencing batch 5
332,Difford: sequencing batch 5
333,Difford: sequencing batch 5
334,Difford: sequencing batch 5
335,Difford: sequencing batch 5
336,Difford: sequencing batch 5
337,Difford: sequencing batch 5
338,Difford: sequencing batch 5
339,Difford: sequencing batch 5
33_J,Difford: sequencing batch 8
340,Difford: sequencing batch 5
341,Difford: sequencing batch 5
342,Difford: sequencing batch 5
343,Difford: sequencing batch 5
344,Difford: sequencing batch 5
345,Difford: sequencing batch 5
346,Difford: sequencing batch 5
347,Difford: sequencing batch 5
348,Difford: sequencing batch 5
349,Difford: sequencing batch 5
34_J,Difford: sequencing batch 8
350,Difford: sequencing batch 5
351,Difford: sequencing batch 5
352,Difford: sequencing batch 5
353,Difford: sequencing batch 5
354,Difford: sequencing batch 5
355,Difford: sequencing batch 5
356,Difford: sequencing batch 5
359,Difford: sequencing batch 5
35_J,Difford: sequencing batch 8
360,Difford: sequencing batch 5
361,Difford: sequencing batch 5
362,Difford: sequencing batch 5
363,Difford: sequencing batch 5
364,Difford: sequencing batch 5
365,Difford: sequencing batch 5
366,Difford: sequencing batch 5
367,Difford: sequencing batch 3
368,Difford: sequencing batch 3
369,Difford: sequencing batch 3
36_J,Difford: sequencing batch 8
370,Difford: sequencing batch 3
371,Difford: sequencing batch 3
372,Difford: sequencing batch 3
373,Difford: sequencing batch 3
374,Difford: sequencing batch 3
375,Difford: sequencing batch 3
376,Difford: sequencing batch 3
377,Difford: sequencing batch 3
378,Difford: sequencing batch 3
37_J,Difford: sequencing batch 8
380,Difford: sequencing batch 3
381,Difford: sequencing batch 3
382,Difford: sequencing batch 3
383,Difford: sequencing batch 3
384,Difford: sequencing batch 3
385,Difford: sequencing batch 3
386,Difford: sequencing batch 3
387,Difford: sequencing batch 3
388,Difford: sequencing batch 3
389,Difford: sequencing batch 3
38_J,Difford: sequencing batch 8
390,Difford: sequencing batch 3
391,Difford: sequencing batch 3
392,Difford: sequencing batch 3
393,Difford: sequencing batch 3
394,Difford: sequencing batch 3
395,Difford: sequencing batch 3
396,Difford: sequencing batch 3
397,Difford: sequencing batch 3
398,Difford: sequencing batch 3
399,Difford: sequencing batch 3
39_J,Difford: sequencing batch 8
401,Difford: sequencing batch 3
402,Difford: sequencing batch 3
403,Difford: sequencing batch 3
404,Difford: sequencing batch 3
405,Difford: sequencing batch 3
406,Difford: sequencing batch 3
407,Difford: sequencing batch 3
408,Difford: sequencing batch 3
409,Difford: sequencing batch 3
40_J,Difford: sequencing batch 8
410,Difford: sequencing batch 3
411,Difford: sequencing batch 3
412,Difford: sequencing batch 3
413,Difford: sequencing batch 3
414,Difford: sequencing batch 3
415,Difford: sequencing batch 3
416,Difford: sequencing batch 3
417,Difford: sequencing batch 3
418,Difford: sequencing batch 3
419,Difford: sequencing batch 3
420,Difford: sequencing batch 3
421,Difford: sequencing batch 3
422,Difford: sequencing batch 3
423,Difford: sequencing batch 3
424,Difford: sequencing batch 3
425,Difford: sequencing batch 3
426,Difford: sequencing batch 3
427,Difford: sequencing batch 3
428,Difford: sequencing batch 3
429,Difford: sequencing batch 3
430,Difford: sequencing batch 3
431,Difford: sequencing batch 3
432,Difford: sequencing batch 3
433,Difford: sequencing batch 3
434,Difford: sequencing batch 3
435,Difford: sequencing batch 3
436,Difford: sequencing batch 3
437,Difford: sequencing batch 3
438,Difford: sequencing batch 3
439,Difford: sequencing batch 3
440,Difford: sequencing batch 3
441,Difford: sequencing batch 3
442,Difford: sequencing batch 3
443,Difford: sequencing batch 3
444,Difford: sequencing batch 3
445,Difford: sequencing batch 3
446,Difford: sequencing batch 3
447,Difford: sequencing batch 3
448,Difford: sequencing batch 3
449,Difford: sequencing batch 3
450,Difford: sequencing batch 3
451,Difford: sequencing batch 3
452,Difford: sequencing batch 3
453,Difford: sequencing batch 3
454,Difford: sequencing batch 3
455,Difford: sequencing batch 3
456,Difford: sequencing batch 3
457,Difford: sequencing batch 3
458,Difford: sequencing batch 3
459,Difford: sequencing batch 3
460,Difford: sequencing batch 3
461,Difford: sequencing batch 3
462,Difford: sequencing batch 3
463,Difford: sequencing batch 4
464,Difford: sequencing batch 4
465,Difford: sequencing batch 4
466,Difford: sequencing batch 4
467,Difford: sequencing batch 4
468,Difford: sequencing batch 4
469,Difford: sequencing batch 4
470,Difford: sequencing batch 4
471,Difford: sequencing batch 4
472,Difford: sequencing batch 4
473,Difford: sequencing batch 4
474,Difford: sequencing batch 4
475,Difford: sequencing batch 4
476,Difford: sequencing batch 4
477,Difford: sequencing batch 4
478,Difford: sequencing batch 4
479,Difford: sequencing batch 4
480,Difford: sequencing batch 4
481,Difford: sequencing batch 4
482,Difford: sequencing batch 4
483,Difford: sequencing batch 4
484,Difford: sequencing batch 4
485,Difford: sequencing batch 4
486,Difford: sequencing batch 4
487,Difford: sequencing batch 4
488,Difford: sequencing batch 4
489,Difford: sequencing batch 4
490,Difford: sequencing batch 4
491,Difford: sequencing batch 4
492,Difford: sequencing batch 4
493,Difford: sequencing batch 4
494,Difford: sequencing batch 4
495,Difford: sequencing batch 4
496,Difford: sequencing batch 4
497,Difford: sequencing batch 4
498,Difford: sequencing batch 4
499,Difford: sequencing batch 4
50,Difford: sequencing batch 1
500,Difford: sequencing batch 4
501,Difford: sequencing batch 4
502,Difford: sequencing batch 4
503,Difford: sequencing batch 4
504,Difford: sequencing batch 4
505,Difford: sequencing batch 4
506,Difford: sequencing batch 4
507,Difford: sequencing batch 4
508,Difford: sequencing batch 4
509,Difford: sequencing batch 4
51,Difford: sequencing batch 1
510,Difford: sequencing batch 4
511,Difford: sequencing batch 4
512,Difford: sequencing batch 4
513,Difford: sequencing batch 4
514,Difford: sequencing batch 4
515,Difford: sequencing batch 4
516,Difford: sequencing batch 4
517,Difford: sequencing batch 4
518,Difford: sequencing batch 4
519,Difford: sequencing batch 4
52,Difford: sequencing batch 1
520,Difford: sequencing batch 4
529,Difford: sequencing batch 4
53,Difford: sequencing batch 1
534,Difford: sequencing batch 4
536,Difford: sequencing batch 4
537,Difford: sequencing batch 4
538,Difford: sequencing batch 4
