sample_id Sequencing_Instrument Sequencing_Batch herd Lactatation days_in_milk methane_grams_per_day
651 2 6 4 1 29 344
622 2 6 4 1 34 356
624 2 6 4 1 25 496
652 2 6 4 1 26 453
619 2 6 4 1 23 444
665 2 7 4 1 39 562
620 2 6 4 1 34 445
695 2 9 4 1 87 385
673 2 7 4 1 44 402
681 2 7 4 1 9 408
675 2 7 4 1 60 508
625 2 6 4 1 21 360
632 2 6 4 1 30 397
120 1 1 1 4 66 299
121 1 1 1 5 15 362
10_J 2 9 5 2 31 581
38_J 2 8 5 2 73 585
29_J 2 9 5 2 91 523
35_J 2 8 5 2 130 476
36_J 2 8 5 2 36 493
03_J 2 8 5 1 157 628
16_J 2 9 5 2 68 562
14_J 2 9 5 2 89 511
17_J 2 9 5 2 39 557
07_J 2 9 5 2 75 600
02_J 2 8 5 2 67 568
30_J 2 8 5 2 58 507
34_J 2 8 5 1 62 587
25_J 2 9 5 1 112 585
11_J 2 9 5 2 60 575
08_J 2 9 5 1 75 586
27_J 2 9 5 2 75 598
40_J 2 8 5 1 75 539
20_J 2 9 5 1 101 569
09_J 2 9 5 2 94 605
37_J 2 8 5 1 25 494
33_J 2 8 5 1 61 523
12_J 2 9 5 1 81 587
04_J 2 8 5 1 45 559
13_J 2 9 5 1 64 606
01_J 2 8 5 1 73 520
28_J 2 9 5 1 39 535
32_J 2 8 5 1 51 591
31_J 2 8 5 1 26 517
15_J 2 9 5 1 55 472
05_J 2 8 5 1 9 498
24_J 2 9 5 1 21 536
22_J 2 9 5 1 15 617
19_J 2 9 5 1 0 511
39_J 2 8 5 1 20 616
26_J 2 9 5 1 2 569
23_J 2 9 5 1 12 567
06_J 2 9 5 1 10 503
133_c 2 9 6 6 287 410.51
106_c 2 8 6 5 105 443.51
141_c 2 7 6 5 253 487.51
111_c 2 8 6 4 287 385.51
125_c 2 9 6 4 112 426.51
107_c 2 8 6 5 77 457.51
169_c 2 9 6 3 189 473.51
160_c 2 9 6 3 154 472.51
155_c 2 7 6 3 231 502.51
135_c 2 7 6 4 35 463.51
115_c 2 9 6 3 357 432.51
158_c 2 7 6 3 105 519.51
207_c 2 10 6 3 63 410.51
159_c 2 9 6 3 112 431.51
194_c 2 8 6 3 126 450.51
188_c 2 8 6 3 14 401.51
184_c 2 8 6 3 56 459.51
200_c 2 8 6 3 21 408.51
166_c 2 9 6 3 70 486.51
118_c 2 9 6 2 364 380.51
